ID,componentindex,CF_kingdom,CF_MFramework,CF_superclass,CF_class,CF_subclass,CF_Dparent,Compound_Name,feature
52384,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52384
52387,83,Organic compounds,Aliphatic heteropolycyclic compounds,Lipids and lipid-like molecules,Prenol lipids,,Triterpenoids,,52387
52390,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52390
52401,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52401
52403,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52403
52453,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52453
52515,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52515
52518,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52518
52521,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52521
52522,1498,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Tetrahydroisoquinolines,,Tetrahydroisoquinolines,,52522
52523,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52523
52582,18,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Diterpenoids,Diterpenoids,,52582
52589,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52589
52590,1498,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Tetrahydroisoquinolines,,Tetrahydroisoquinolines,,52590
52592,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52592
52593,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52593
52598,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52598
52641,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52641
52651,1253,Organic compounds,Aliphatic acyclic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Ketones,,52651
52665,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52665
52738,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52738
52742,264,Organic compounds,Aliphatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Indolizidines,,52742
52743,2432,Organic compounds,Aromatic homomonocyclic compounds,Benzenoids,Benzene and substituted derivatives,Monoterpenoids,Monoterpenoids,,52743
52744,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52744
52747,64,Organic compounds,Aromatic heteropolycyclic compounds,Organoheterocyclic compounds,Carboxylic acids and derivatives,,Tetralins,,52747
52748,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52748
52753,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52753
52782,531,no matches,no matches,no matches,no matches,no matches,no matches,,52782
52802,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52802
52804,612,Organic compounds,Aliphatic acyclic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Serine and derivatives,,52804
52815,-1,no matches,no matches,no matches,no matches,no matches,no matches,,52815
