ID,MachineBlk1,MachineBlk2,MachineBlk3,Synbiotics-T01_F02,Synbiotics-T01_F02_2,Synbiotics-T01_F07,Synbiotics-T01_F07_2,Synbiotics-T01_F08,Synbiotics-T01_F08_2,Synbiotics-T01_F17,Synbiotics-T01_F17_2,Synbiotics-T01_F19,Synbiotics-T01_F19_2,Synbiotics-T01_F20,Synbiotics-T01_F20_2,Synbiotics-T01_F28,Synbiotics-T01_F28_2,Synbiotics-T01_F31,Synbiotics-T01_F31_2,Synbiotics-T01_F35,Synbiotics-T01_F35_2,Synbiotics-T01_F39,Synbiotics-T01_F39_2,Control-T01_F01,Control-T01_F04,Control-T01_F05,Control-T01_F11,Control-T01_F15,Control-T01_F17,Control-T01_F23,Control-T01_F26,Control-T01_F33,Control-T01_F38,Control-T01_F01_2,Control-T01_F04_2,Control-T01_F05_2,Control-T01_F11_2,Control-T01_F15_2,Control-T01_F17_2,Control-T01_F23_2,Control-T01_F26_2,Control-T01_F33_2,Control-T01_F38_2,Probiotics-T01_F01,Probiotics-T01_F01_2,Probiotics-T01_F02,Probiotics-T01_F02_2,Probiotics-T01_F09,Probiotics-T01_F09_2,Probiotics-T01_F12,Probiotics-T01_F12_2,Probiotics-T01_F17,Probiotics-T01_F17_2,Probiotics-T01_F22,Probiotics-T01_F22_2,Probiotics-T01_F31,Probiotics-T01_F31_2,Probiotics-T01_F33,Probiotics-T01_F33_2,Probiotics-T01_F35,Probiotics-T01_F35_2,Probiotics-T01_F37,Probiotics-T01_F37_2,P_Blk_01,P_Blk_01_20190824233514,P_Blk_02,P_Blk_02_20190824132314,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12-1,QC12-2,QC13-1,QC13-2,QC13-3
94792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4713170,0,3851460,0
140985,0,0,0,1479737,12595010,2412790,0,0,4082820,3297560,7818414,3491780,0,0,0,0,0,0,0,1808890,1939370,2556704,3501440,1502140,465564,0,4171010,0,0,6518832,10406250,12895762,0,1221685,0,0,5734571,0,4345140,2244780,0,9961774,0,0,1523970,3686110,2125040,4489750,6096170,0,3829034,0,4059710,3226264,3698460,381280,519268,6403190,4376760,4495450,7132934,10844948,10235132,20834242,0,0,0,2327307,8483176,3101292,1957140,5869210,2825021,2974818,2639970,4386949,3465282,7207300,2129660,2555010
70734,0,0,0,0,0,0,0,0,12582700,10295900,0,0,0,0,0,0,0,10258900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21531400,0,9391680,9538220,8357680,0,0,0,0,0,9454900,13579400,0,0,0,0,0,0,0,0,0,0
96093,0,752653,1099530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4067960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3218320,0,0,3508860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3219,0,0,0,0,0,0,0,0,1513610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2456190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96623,0,0,0,0,0,0,0,0,0,0,0,0,0,11332900,11164600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15148680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41934,0,15381380,12932500,15977910,6919080,12050190,20509560,4015120,7946940,8128820,9386820,15434240,14325560,14471830,11992190,17191645,93005270,16802870,13223240,13959770,10496790,8711360,7148560,10050740,14387420,8688040,6665650,7248910,10281460,9567260,4906710,9060120,6017020,12896440,10406862,16781390,8385270,10995680,9481071,12042203,15041780,17575700,10528824,12607710,11730920,10731600,11859330,440209,11569760,16529880,8555380,9872600,12564320,10766550,7437420,22463690,12228680,36241394,14828730,9905250,8060920,8374690,7165290,46141090,48401750,188541468,36879110,10861820,13611650,12681850,13860760,7692350,17693485,12347590,10953490,9344580,18975340,18240280,14665480,10537420
77834,0,0,0,0,0,8801290,0,0,0,5473140,14486130,0,0,0,0,0,0,0,3711970,0,0,0,0,4087510,0,0,6781130,0,0,4812140,6084280,0,0,3702580,7193890,4457440,0,6162090,3616510,0,0,0,0,7669300,0,0,8127100,5572440,0,0,0,11050330,4370330,10586200,15251070,13051680,5932000,2499570,2751820,7679200,0,4012130,0,0,0,0,0,5496090,5134220,0,3223570,7782490,3903060,5606240,7133710,0,0,4508630,0,0
147254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206300,2243430,0,0,0,1134150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38397,0,0,0,0,0,0,0,0,0,0,0,0,5256650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4797040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728030,0,3088100,0,0,0,4304400,0,0,0
