SampleID,Individuals,SampleType,Feed,Supplements,Individuals,RUN,Sample_Replicate,Weigth,Mycoplasma,Keep
Probiotics-T01_F17_2,Probiotics-T01_F17,SAMPLE,Probiotics,Yes,Z_F17,A,25,64.76,0.039274563,Yes
Probiotics-T01_F22,Probiotics-T01_F22,SAMPLE,Probiotics,Yes,Z_F22,B,26,72.47,0.160695968,Yes
Probiotics-T01_F22_2,Probiotics-T01_F22,SAMPLE,Probiotics,Yes,Z_F22,A,26,72.47,0.160695968,Yes
Probiotics-T01_F31,Probiotics-T01_F31,SAMPLE,Probiotics,Yes,Z_F31,B,27,50.99,0.660205277,Yes
Probiotics-T01_F31_2,Probiotics-T01_F31,SAMPLE,Probiotics,Yes,Z_F31,A,27,50.99,0.660205277,Yes
Probiotics-T01_F33,Probiotics-T01_F33,SAMPLE,Probiotics,Yes,Z_F33,B,28,49.3,0.05384234,Yes
Probiotics-T01_F33_2,Probiotics-T01_F33,SAMPLE,Probiotics,Yes,Z_F33,A,28,49.3,0.05384234,Yes
Probiotics-T01_F35,Probiotics-T01_F35,SAMPLE,Probiotics,Yes,Z_F35,B,29,49.4,0.017476983,Yes
Probiotics-T01_F35_2,Probiotics-T01_F35,SAMPLE,Probiotics,Yes,Z_F35,A,29,49.4,0.017476983,Yes
Probiotics-T01_F37,Probiotics-T01_F37,SAMPLE,Probiotics,Yes,Z_F37,B,40,81.34,0.293784247,Yes
Probiotics-T01_F37_2,Probiotics-T01_F37,SAMPLE,Probiotics,Yes,Z_F37,A,30,81.34,0.293784247,Yes
P_Blk_01,P_Blk_01,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
P_Blk_01_20190824233514,P_Blk_01,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
P_Blk_02,P_Blk_02,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
P_Blk_02_20190824132314,P_Blk_02,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
QC04,QC04,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC05,QC05,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC06,QC06,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC07,QC07,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC08,QC08,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC09,QC09,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC10,QC10,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC11,QC11,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC12-1,QC12,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC12-2,QC12,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC13-1,QC13,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC13-2,QC13,QC,NA,NA,NA,NA,NA,NA,NA,NA
QC13-3,QC13,QC,NA,NA,NA,NA,NA,NA,NA,NA
